Club Name,Latitude,Longitude
Royal Vancouver Yacht Club - Jericho,49.275216666667,-123.18571666667
Royal Victoria Yacht Club,48.4525,-123.2945
Sacramento Yacht Club,38.535166666667,-121.5185
Salt Spring Island Sailing Club,48.845966666667,-123.48875
San Diego Yacht Club,32.718055,-117.22861166667
San Francisco Yacht Club,37.8722,-122.4628
San Juan Island Yacht Club,48.539316666667,-123.01553333333
Santa Barbara Yacht Club,34.40355,-119.6927
Santa Monica Windjammers Yacht Club,33.977766666667,-118.44443333333
Sausalito Yacht Club,37.856666666667,-122.478
Sauvie Island Yacht Club,45.605666666667,-122.65833333333
Schooner Cove Yacht Club,49.2875,-124.13416666667
Seabacs Yacht Club (Boeing Co.),47.651666666667,-122.61333333333
Seattle Singles Yacht Club,47.658583333333,-122.37816666667
Seattle Yacht Club,0,0
Semiahmoo Marina Yacht Club,48.9882,-122.77108333333
Semiahmoo Yacht Club,48.991666666667,-122.765
Sequim Bay Yacht Club,48.064683333333,-123.04028333333
Shelter Bay Yacht Club,48.381033333333,-122.5132
Shelton Yacht Club,47.213916666667,-123.08493333333
Shilshole Bay Yacht Club,0.68416666666667,-0.4045
Sidney North Saanich Yacht Club,48.673333333333,-123.417
Silva Bay Yacht Club,49.14815,-123.69678333333
Sinclair Inlet Yacht Club,47.544833333333,-122.6395
Sloop Tavern Yacht Club,47.679716666667,-122.40663333333
South Sound Sailing Society,47.046316666667,-122.90476666667
South Whidbey Yacht Club,48.0387,-122.404275
Southwestern Yacht Club,32.745,-117.2338
Squalicum Yacht Club,48.757783333333,-122.50533333333
Squamish Yacht Club,49.6945,-123.15433333333
St. Francis Yacht Club,37.8,-122.4
Stockton Sailing Club,37.9759346,-121.3739359
Swinomish Yacht Club,48.395233333333,-122.4965
Tacoma Yacht Club,47.305866666667,-122.5122
Three Tree Point Yacht Club,47.401266666667,-122.3308
Totem Yacht Club,47.256283333333,-122.43528333333
Tyee Yacht Club - Portland,45.60125,-122.63286666667
Tyee Yacht Club - Seattle,47.650666666667,-122.32333333333
Vallarta Yacht Club,20.693266666667,-105.29316666667
Vallejo Yacht Club,38.105233333333,-122.26653333333
Vancouver Rowing Club,49.296316666667,-123.13385
Ventura Yacht Club,34.245783333333,-119.26563333333
Viking Yacht Club,47.280766666667,-122.39303333333
Waikiki Yacht Club,21.286616666667,-157.84328333333
Walla Walla Yacht Club,46.027233333333,-118.9369
Washington Yacht Club,0,0
West Seattle Yacht Club,47.651666666667,-122.61083333333
West Sound Corinthian Yacht Club,47.544366666667,-122.63955
West Vancouver Yacht Club,49.355733333333,-123.27348333333
Willamette Sailing Club,45.4785,-122.66983333333
William H Seward Yacht Club,60.11735,-149.43306666667
Yakima Valley Boat Club,46.63535,-121.16916666667
